channel,decision,time_h,OD
1,145,297.2658,0.3343
1,145,297.3492,0.3338
1,145,297.4325,0.3318
1,145,297.5158,0.3338
1,145,297.5992,0.3318
1,145,297.6825,0.3322
1,145,297.7658,0.3318
1,145,297.8492,0.3334
1,145,297.9325,0.3347
1,145,298.0158,0.3318
1,145,298.0992,0.333
1,145,298.1825,0.3372
1,145,298.2658,0.3322
1,145,298.3492,0.333
1,145,298.4325,0.333
1,145,298.5158,0.3351
1,145,298.5992,0.3355
1,145,298.6825,0.3347
1,145,298.7658,0.3355
1,145,298.8492,0.3359
1,145,298.9325,0.338
1,145,299.0158,0.3355
1,145,299.0992,0.3355
1,145,299.1825,0.3355
1,145,299.2658,0.3376
1,145,299.3492,0.3417
1,145,299.4328,0.3413
1,145,299.5158,0.338
1,145,299.5992,0.3401
1,145,299.6825,0.3397
1,145,299.7658,0.3401
1,145,299.8492,0.3401
1,145,299.9325,0.3417
1,145,300.0158,0.3409
1,145,300.0992,0.3413
1,145,300.1825,0.3442
1,145,300.2658,0.3426
1,145,300.3492,0.3434
1,145,300.4325,0.3422
1,145,300.5158,0.343
1,145,300.5992,0.3459
1,145,300.6825,0.3468
1,145,300.7658,0.3455
1,145,300.8492,0.3484
1,145,300.9325,0.3493
1,145,301.0158,0.3476
1,145,301.0992,0.3484
1,145,301.1825,0.348
1,145,301.2656,0.3489
1,145,301.3492,0.3463
1,145,301.4325,0.3472
1,145,301.5158,0.3497
1,145,301.5992,0.3501
1,146,301.6825,0.3338
1,146,301.7658,0.3334
1,146,301.8492,0.3338
1,146,301.9325,0.3347
1,146,302.0158,0.3347
1,146,302.0992,0.3347
1,146,302.1825,0.3372
1,146,302.2658,0.3338
1,146,302.3492,0.3355
1,146,302.4325,0.333
1,146,302.5158,0.3343
1,146,302.5992,0.3322
1,146,302.6825,0.333
1,146,302.7658,0.3359
1,146,302.8492,0.3338
1,146,302.9325,0.3334
1,146,303.0158,0.3347
1,146,303.0992,0.3363
1,146,303.1825,0.3372
1,146,303.2658,0.3372
1,146,303.3492,0.3372
1,146,303.4325,0.3363
1,146,303.5158,0.3384
1,146,303.5992,0.3367
1,146,303.6825,0.3372
1,146,303.7658,0.3372
1,146,303.8492,0.3367
1,146,303.9325,0.3376
1,146,304.0158,0.3384
1,146,304.0992,0.3384
1,146,304.1825,0.3397
1,146,304.2658,0.3417
1,146,304.3492,0.3392
1,146,304.4325,0.3413
1,146,304.5158,0.3426
1,146,304.5992,0.3422
1,146,304.6825,0.3438
1,146,304.7658,0.3438
1,146,304.8492,0.3442
1,146,304.9325,0.3422
1,146,305.0158,0.3422
1,146,305.0992,0.3459
1,146,305.1825,0.3442
1,146,305.2658,0.3468
1,146,305.3492,0.3459
1,146,305.4325,0.3451
1,146,305.5158,0.3442
1,146,305.5992,0.3459
1,146,305.6825,0.3468
1,146,305.7658,0.3518
1,147,305.8492,0.3376
1,147,305.9325,0.3347
1,147,306.0158,0.3343
1,147,306.0992,0.3388
1,147,306.1825,0.3355
1,147,306.2658,0.333
