Name,S1,S2,S3,S4,S5,S6,S7,S8
Group,WT,WT,WT,WT,Treatment,Treatment,Treatment,Treatment
"3.83_182.08112_polar",13868,17390,14888,12986,16416,21954,20862,22798
"4.85_175.11887_polar",35494,32006,22620,35900,42070,39930,38286,40140
"4.93_156.0767_polar",2646,2742,2738,3906,3736,2774,3210,2644
"5.25_335.06397_polar",1242,1322,1504,3152,642,524,730,764
"5.52_346.05558_polar",86624,102136,48832,116754,58524,68768,75680,92688
"5.61_323.02835_polar",16866,21494,9950,21994,10844,14214,13974,15646
"5.97_363.0345_polar",14500,15982,5886,20762,6702,11118,9046,9326
"3.72_166.0862_polar",1094,1064,1462,1170,1118,1070,1256,1430
"3.9_116.07056_polar",7266,10672,6546,11202,10936,9160,10946,12406
"4.4_148.06049_polar",86768,84172,78544,85212,90380,86542,92152,93098
"4.59_147.07641_polar",40126,46336,33784,46540,53814,61328,49640,56982
"4.66_176.10289_polar",14814,12788,13146,16296,24044,16882,21240,18760
"4.91_147.11284_polar",1798,1980,1506,2602,2130,1600,2236,3124
"4_116.07152_polar",1062,1120,732,1110,1222,1298,1318,1472
"5.58_322.0443_polar",12518,15486,8888,15700,9620,10776,12528,13306
"5.6_337.05475_polar",1046,984,930,1202,792,404,754,356
"6.99_565.04721_polar",59072,77010,41712,95690,43582,35014,35240,37098
"4.31_195.05094_polar",17002,19220,15816,22374,26242,19408,27402,24280
"4.41_146.0458_polar",45478,49756,48482,51142,56284,54942,52524,57968
"4.58_132.03016_polar",23830,29880,27418,35518,27424,22830,29632,25258
"4.61_145.06172_polar",17080,16480,14792,14410,24078,28418,20734,28902
"5.71_347.03969_polar",6748,5966,2366,7340,2474,3500,2676,3206
"3.33_136.06173_polar",2314,3112,2068,2814,2250,2322,2796,3484
"5.59_324.0601_polar",4874,5384,2712,4726,0,0,0,3206
"4.1_282.08434_polar",4980,5714,3868,6660,5172,5540,5102,8176
"4.56_189.15968_polar",183496,156472,141434,177098,50046,47462,46964,49460
"5.93_258.03821_polar",4286,3510,2600,5272,4222,3578,3362,3848
"6.08_261.03677_polar",3990,2844,3456,4232,4930,3134,3980,3040
"5.39_171.0061_polar",790,1024,360,1088,936,1298,900,1390
"6.08_168.99068_polar",6094,4810,5010,6342,9838,5856,6100,5984
"7.08_579.02618_polar",11410,14288,6258,20162,4444,4344,4184,3870
"3.95_209.06655_polar",988,1428,840,1780,1534,1762,1924,1840
"5.55_229.01169_polar",9200,10086,5006,11808,8442,9294,8966,11462
"6.08_259.02224_polar",80294,55486,78064,85430,128350,71416,89724,68784
"4.92_168.98961_polar",224,1122,208,1368,0,1050,822,1076
"4.93_166.97503_polar",5226,17326,3306,20464,3328,17804,14004,13318
"5.08_166.97508_polar",3460,11934,1856,11154,2422,15104,11034,18226
"0.8_60.08083_polar",1830,1474,1084,1460,1088,1124,1066,956
"0.93_123.05532_polar",0,1072,1054,1170,976,1276,1586,828
"3.84_112.05051_polar",874,714,388,1004,1316,1260,810,1328
"4_118.08625_polar",3412,3850,2902,3928,4642,4614,4536,4962
"3.93_138.05464_polar",1300,1234,1508,1362,1200,1446,1758,1292
"4.03_150.05838_polar",816,954,1398,1172,2706,2108,2116,2638
"4.43_290.13462_polar",43322,43850,38052,52406,47094,43598,40620,44590
"5.28_346.05382_polar",1320,1006,582,994,1288,820,876,992
"5.38_191.1026_polar",1632,1628,1288,2622,1490,1180,1568,2242
"0.89_218.10303_polar",722,1186,730,1230,1104,1484,1308,1076
"4.33_220.08248_polar",716,1330,1062,1556,1244,1204,1736,1500
"5.55_503.16102_polar",1524,2892,2552,3298,3256,4814,2880,4034
"5.71_349.05483_polar",1246,1080,406,1250,548,820,458,424
"4.84_383.11458_polar",808,820,688,546,758,776,802,1116
"5.06_341.10872_polar",1516,1174,1816,2230,2424,1820,2096,1776
"0.58_284.33072_polar",1550,254,0,484,216,0,0,720
"0.62_102.12769_polar",1810,1780,2156,2490,2092,1650,1760,2030
"0.62_230.24767_polar",10668,1062,414,6880,1260,2216,1106,3166
"0.81_160.13329_polar",23288,22768,16450,22144,1512,1084,900,752
"0.81_194.11693_polar",6436,6520,6828,6524,7778,6864,6262,8060
"0.82_109.07592_polar",3576,3520,1214,4890,812,760,826,1350
"0.89_343.29547_polar",2786,984,2844,1556,2930,1602,1502,2572
"0.91_187.10786_polar",1232,1050,540,1280,1180,1442,1166,1338
"0.91_203.139_polar",2756,1832,1152,2282,3350,1538,3496,2956
"0.92_298.09562_polar",16582,19406,25514,24018,29382,23674,29970,22536
"2.68_102.12766_polar",3704,3956,3410,3864,3704,3452,3898,3706
"3.71_205.097_polar",766,1444,1990,810,2150,2268,2458,2600
"3.75_314.09178_polar",346,336,2622,142,0,380,0,186
"3.77_175.10747_polar",828,1440,1190,90,1694,1748,2378,1604
"3.81_217.11857_polar",1376,1288,0,1124,1270,1076,1104,1094
"3.89_178.03703_polar",2000,2894,3894,1036,1546,2516,4508,3348
"3.88_70.06509_polar",15784,19234,8712,20472,20660,17652,24426,24752
"4.42_203.15002_polar",648,744,454,774,1320,1242,1280,1604
"4.56_60.08079_polar",24832,22616,17842,24394,5336,5014,5062,5942
"4.77_128.07059_polar",5828,7228,5582,9370,13342,8972,9192,12074
"4.99_116.07053_polar",4432,1882,3596,2930,4986,3298,3522,3280
"5.25_123.05534_polar",2518,1916,1832,2582,1834,1608,1726,1706
"5.39_249.06346_polar",1542,1580,1000,1472,1292,1660,1256,1448
"5.55_175.11889_polar",1822,938,728,986,1080,1218,1166,1058
"5.64_97.0284_polar",1236,1014,0,1490,992,1172,1266,1484
"6.06_428.03652_polar",5582,4666,3472,5146,4758,5114,5480,5248
"6.81_606.07371_polar",73326,72476,48070,92288,54202,42692,47094,45720
"7.07_444.03127_polar",1422,1510,750,2084,0,0,0,0
"0.66_188.20079_polar",2754,1616,2036,3028,2320,2676,2030,1334
"0.74_151.0965_polar",7256,5888,6672,6504,6326,6476,6258,6836
"0.84_59.04916_polar",49408,32038,42610,38188,138232,130928,126768,123450
"0.89_229.1546_polar",4310,3948,3092,3484,6472,4240,4918,4896
"0.96_188.05637_polar",40924,43622,38002,56836,68018,57018,66928,63326
"0.96_130.04986_polar",6580,6758,4218,6166,7984,7174,8662,9512
"2.76_74.09644_polar",1026,1244,648,820,1170,974,904,838
"3.61_132.10207_polar",2114,1550,1934,0,0,1636,1538,1352
"3.84_261.14439_polar",45844,55204,40552,44964,61772,56986,69142,69468
"3.85_122.08123_polar",2716,6920,2392,2880,2982,4350,3422,4812
"3.87_219.0975_polar",2562,2510,1428,2620,2244,1958,2998,2502
"3.92_244.07908_polar",4388,3106,7072,2482,5726,5028,5230,4816
"3.95_90.05483_polar",1196,850,850,1128,1166,974,1200,848
"4_247.12871_polar",29582,29382,25318,35536,40400,34396,39094,42730
"4.01_205.08209_polar",3136,3716,2024,4268,1762,2034,2168,2544
"4.03_60.04439_polar",7228,8282,2756,6982,9488,10370,9624,10612
"4.03_106.04978_polar",2020,3250,1516,2718,3214,3566,3278,3856
