Name,S1,S2,S3,S4,S5,S6,S7,S8
Group,WT,WT,WT,WT,Treatment,Treatment,Treatment,Treatment
"17.65_274.27402_apolar",23934,24276,24626,0,24234,0,23524,24696
"18.34_274.27403_apolar",25768,27244,0,25854,0,24854,0,0
"19.73_274.27398_apolar",28846,30450,31198,30856,30150,29554,30434,0
"0.84_381.25113_apolar",10126,7946,17028,11218,31904,8880,13766,11042
"12.31_569.51374_apolar",40562,34220,21654,41210,31286,25570,34136,27150
"8.71_939.60028_apolar",146774,133436,112344,142808,146006,114956,121098,137700
"6.08_957.57849_apolar",113008,139454,96192,127956,116178,106856,125206,116426
"1.03_301.14095_apolar",62792,70368,66358,74684,66702,71718,69014,73596
"12.31_753.54828_apolar",278790,256396,169982,266888,223734,193672,241386,193082
"9.99_751.5326_apolar",270976,229238,160162,291720,224662,253870,237284,191278
"6.82_769.51021_apolar",20032,19288,13222,22816,18874,16218,18068,13636
"11.27_765.54838_apolar",55840,53180,36636,55054,58020,50908,62726,49460
"9.35_763.53259_apolar",86116,85142,56306,84046,86602,69816,76080,67752
"14.04_803.58815_apolar",63234,71506,46146,65300,63968,49294,64124,38018
"12.6_779.56379_apolar",400270,405588,232740,395838,361412,371638,368902,319280
"9.12_797.54151_apolar",1193312,1126982,951142,1249720,1147196,1024978,1069492,1020954
"2.73_255.23275_apolar",5040,6108,3890,6008,4604,4438,5926,3342
"7.06_719.48664_apolar",21604,18028,12958,20312,16668,15416,15536,12884
"11.5_749.53329_apolar",6462,5638,4732,6586,6790,5662,5796,5422
"9.26_747.51802_apolar",82118,71142,45474,81352,81258,69426,81806,60978
"7.51_747.51662_apolar",380432,301260,225886,330304,331974,300196,326296,262634
"9_723.51684_apolar",12676,11892,6892,13158,11350,9182,10942,8318
"11.13_451.35707_apolar",37762,33734,21724,39218,29338,25656,33470,21052
"1.76_563.26504_apolar",25994,43304,14576,42292,58272,38826,22798,22042
"0.31_515.8909_apolar",1110,1198,1058,1172,1262,1208,1388,1148
"0.31_719.85279_apolar",1082,1652,1142,1188,1860,1268,1330,1438
"0.31_362.92626_apolar",14000,15504,15394,12508,15168,14508,13886,13966
"0.31_430.91359_apolar",11920,12900,13048,11068,14780,13798,14720,12964
"0.31_215.12537_apolar",11242,14118,11902,13706,13688,13408,14738,13780
"0.31_158.96404_apolar",4730,3816,4618,4930,5162,5144,4230,4678
"0.31_243.94155_apolar",3376,2870,3652,3294,3686,3812,3874,3728
"0.31_498.90104_apolar",5840,5350,5598,5786,6400,5038,5524,6104
"0.31_634.87575_apolar",3872,4242,3582,3392,3446,4192,3534,3782
"0.31_294.93882_apolar",3016,3456,3568,4232,3254,2744,3178,3206
"0.31_702.86308_apolar",4440,5168,3824,4646,4858,4608,4738,4012
"0.31_566.88843_apolar",5152,5336,5080,4910,5706,5100,5802,4890
"0.31_838.83759_apolar",3014,3262,2750,2570,2978,2822,2538,2880
"0.31_770.85043_apolar",3366,3920,3630,3170,3420,2802,3288,3122
"0.31_663.45314_apolar",1566,1564,1728,1452,1386,1662,1706,1710
"0.31_548.50327_apolar",2606,2468,1842,2044,1766,2054,2428,0
"0.31_186.05799_apolar",2156,2478,1794,2520,2122,2136,1980,2064
"0.31_274.27396_apolar",8388,10862,9182,10304,9810,8478,9770,11388
"0.31_560.87133_apolar",1022,986,1464,1250,1284,784,1100,1080
"0.31_787.83983_apolar",1272,1338,1104,1036,1342,1156,1326,1174
"0.31_584.47282_apolar",1368,1620,1644,1458,1716,1536,1294,1976
"0.31_216.9227_apolar",2214,3504,2528,2716,2698,2678,2102,2482
"0.31_600.46765_apolar",1402,1452,1572,1274,1306,1420,1448,1286
"0.31_628.85849_apolar",1366,1376,1044,956,1092,1124,978,892
"0.32_447.90372_apolar",2064,2178,2412,2286,1820,2126,2424,2028
"0.32_628.49889_apolar",1096,708,1230,1074,818,1078,944,1094
"0.32_379.91637_apolar",1348,1688,1452,1278,1358,1244,1380,1132
"0.33_583.87848_apolar",1098,1370,1102,1480,1172,1040,1418,1412
